,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'clf__splitter': 'random', 'clf__max_depth': 5, 'clf__criterion': 'entropy', 'clf__class_weight': None}",4,0.5432530698717548,5,0.5734563263928525,3,0.5838006849669518,8,0.5901079038108705,4,0.5214519985581852,7,0.598143852336536,3,0.6881753749492385
1,"{'clf__splitter': 'best', 'clf__max_depth': 3, 'clf__criterion': 'entropy', 'clf__class_weight': None}",7,0.520243003378757,7,0.5720648164421512,4,0.5821636761029441,15,0.5745698741961892,10,0.48491289122332415,10,0.5950433004220549,2,0.7296707361952505
2,"{'clf__splitter': 'best', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None}",2,0.5479526985349226,3,0.5747092606300224,6,0.5664482245261957,4,0.5950424531600793,1,0.5243012597678116,12,0.590271543599143,6,0.6743198959021559
3,"{'clf__splitter': 'best', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': None}",1,0.548840862869584,1,0.5769569668709784,5,0.5686223095890895,7,0.5922810655498978,2,0.523749251358785,11,0.5915961665335349,5,0.6810329182882128
4,"{'clf__splitter': 'random', 'clf__max_depth': 3, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",12,0.488512618461644,14,0.5384354617592171,11,0.45966708747870844,10,0.5827875266170359,14,0.4519401752523878,14,0.5608225203940446,10,0.5515296472024217
5,"{'clf__splitter': 'random', 'clf__max_depth': 3, 'clf__criterion': 'entropy', 'clf__class_weight': None}",5,0.5397609296424791,2,0.5750550475673587,1,0.6166263458217829,10,0.5827875266170359,6,0.5092922767087269,5,0.5987624354339225,1,0.7759910447012748
6,"{'clf__splitter': 'best', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced'}",11,0.4929334529544021,12,0.5468003727870007,13,0.4559857249750841,5,0.5945605691076998,11,0.4754406876592292,13,0.5734041178166387,13,0.49362299908564977
7,"{'clf__splitter': 'random', 'clf__max_depth': 3, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced'}",12,0.488512618461644,14,0.5384354617592171,11,0.45966708747870844,10,0.5827875266170359,14,0.4519401752523878,14,0.5608225203940446,10,0.5515296472024217
8,"{'clf__splitter': 'best', 'clf__max_depth': 5, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",15,0.4729089135645934,13,0.5423334206011796,15,0.401545014404335,1,0.6041647825963689,13,0.45372142904514423,4,0.5990916236727274,15,0.41151655646064766
9,"{'clf__splitter': 'best', 'clf__max_depth': 5, 'clf__criterion': 'gini', 'clf__class_weight': None}",8,0.5173014128785876,8,0.5668344775628855,8,0.5079008888828119,3,0.5953938488330868,5,0.5112871820616277,8,0.5955433021235745,12,0.549016976642748
10,"{'clf__splitter': 'random', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': None}",6,0.5220354019053866,6,0.5720780819420211,7,0.5417182725113292,13,0.5788785113418071,7,0.5027122692941428,1,0.6080602554237762,7,0.6133650080491262
11,"{'clf__splitter': 'random', 'clf__max_depth': 5, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced'}",10,0.5072058037957061,9,0.5650028406328638,10,0.49939926500056203,6,0.5935306551991286,9,0.4873581933719022,3,0.6001214117373879,9,0.5642052385691441
12,"{'clf__splitter': 'random', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",9,0.5133447308138082,10,0.5600274270845276,9,0.5071067638337505,13,0.5788785113418071,8,0.49263390986712796,9,0.5951250902000031,8,0.5658487675806108
13,"{'clf__splitter': 'random', 'clf__max_depth': 5, 'clf__criterion': 'gini', 'clf__class_weight': None}",3,0.5433872350655498,4,0.5741429089512623,2,0.5838173153101249,9,0.5894034094293613,3,0.5217297220889865,6,0.5984822540252811,4,0.6878066652417553
14,"{'clf__splitter': 'best', 'clf__max_depth': 5, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced'}",14,0.4823679689350183,11,0.5488930691965684,14,0.4203996329029439,2,0.5954867300305287,12,0.4677720983014637,2,0.6046331160023013,14,0.42684581089262336
