,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__n_estimators': 10}",19,0.611116107850827,18,0.6119871737814737,20,0.5795525218498169,20,0.6576071254535998,19,0.6085987656213948,17,0.6387155554830599,20,0.5304511895704147
1,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__n_estimators': 30}",14,0.6275474276831192,14,0.627968917585483,15,0.6152366560005541,16,0.6817990499722215,14,0.6270376403362667,10,0.643662114654132,16,0.5892531635453172
2,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__n_estimators': 50}",12,0.6307423170697135,12,0.6310470030012193,12,0.6226071166102382,12,0.6876837633241644,12,0.6304858283081124,9,0.6438446305565829,12,0.6027531403280464
3,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__n_estimators': 75}",8,0.6327266369933565,8,0.632824818798921,4,0.6323389617788127,8,0.691377307732971,8,0.632723919979871,16,0.6399006422764127,4,0.6249883284697008
4,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__n_estimators': 100}",1,0.6352271213109176,1,0.635431302467433,6,0.6311369239140573,4,0.693026292043956,1,0.6351399028443663,2,0.645360921813916,6,0.6175630497872926
5,"{'clf__class_weight': 'balanced', 'clf__criterion': 'entropy', 'clf__n_estimators': 10}",18,0.6111167457324929,19,0.6119644415056461,18,0.5809538447627067,17,0.6595412762955289,18,0.6087829555427846,19,0.6377367943092812,18,0.5335272266912905
6,"{'clf__class_weight': 'balanced', 'clf__criterion': 'entropy', 'clf__n_estimators': 30}",13,0.6281229465722917,13,0.6285481159901539,13,0.6158359826075209,13,0.6834463294288435,13,0.6276108678979553,7,0.6442843071564598,14,0.5898472184479358
7,"{'clf__class_weight': 'balanced', 'clf__criterion': 'entropy', 'clf__n_estimators': 50}",11,0.6316155298197866,11,0.631916827197611,11,0.6243241360096263,9,0.6894486805818146,11,0.6313949592661278,8,0.6441473638001621,11,0.6057539378107828
8,"{'clf__class_weight': 'balanced', 'clf__criterion': 'entropy', 'clf__n_estimators': 75}",7,0.6329649133583446,7,0.6330422707747992,3,0.6326918542696395,6,0.6923549502605529,7,0.6329564778295832,15,0.6400204342379527,1,0.6255681979031327
9,"{'clf__class_weight': 'balanced', 'clf__criterion': 'entropy', 'clf__n_estimators': 100}",3,0.6349492490321523,3,0.6351286818409695,5,0.6312169392737258,1,0.6942929725597129,3,0.6348618590043824,5,0.6447566773909874,5,0.6182961790163155
10,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__n_estimators': 10}",17,0.6112157197667715,17,0.6120828119895254,19,0.5806542563406681,19,0.6593024414375263,17,0.6088253902425779,18,0.6381693408843618,19,0.5327328344142037
11,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__n_estimators': 30}",15,0.6270314798539645,15,0.6274422122219177,16,0.6150032955166338,14,0.6834301846683396,15,0.6265339199568364,11,0.6428878247460393,15,0.5894998825321063
12,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__n_estimators': 50}",9,0.6324489615916487,9,0.6327296248228859,9,0.6255133090142724,10,0.6894360071351442,9,0.632246189042503,4,0.644762153345963,9,0.6074318117145061
13,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__n_estimators': 75}",5,0.6348699193906576,5,0.6349729278421229,1,0.6338887089498184,5,0.6923781421014368,4,0.6348537642413488,12,0.6425360236945213,2,0.6255083241630824
14,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__n_estimators': 100}",4,0.6348896543468879,4,0.6350851959922176,7,0.630475197612711,3,0.693185653175207,5,0.6347858028646977,3,0.6452678699534251,7,0.6163836944251965
15,"{'clf__class_weight': None, 'clf__criterion': 'entropy', 'clf__n_estimators': 10}",20,0.6105410220911809,20,0.6113571717113134,17,0.5811101983729048,18,0.6593368222998217,20,0.6083158181400531,20,0.6364961809103202,17,0.5346161906786893
16,"{'clf__class_weight': None, 'clf__criterion': 'entropy', 'clf__n_estimators': 30}",16,0.6265354796082618,16,0.6268984425960048,14,0.6155303965590688,15,0.6820898799088213,16,0.6261141477051344,13,0.641460360722468,13,0.5916279313271144
17,"{'clf__class_weight': None, 'clf__criterion': 'entropy', 'clf__n_estimators': 50}",10,0.6322706579158753,10,0.6325443377557932,10,0.6251253422352382,11,0.6890675093803861,10,0.6320592648309119,6,0.6447120199530227,10,0.6067257738943999
18,"{'clf__class_weight': None, 'clf__criterion': 'entropy', 'clf__n_estimators': 75}",6,0.6335406566873625,6,0.6336189287197306,2,0.6329123739871039,7,0.691942512324734,6,0.6335300565765947,14,0.6409126408251862,3,0.6251267584713431
19,"{'clf__class_weight': None, 'clf__criterion': 'entropy', 'clf__n_estimators': 100}",2,0.6349891875120095,2,0.6351876800659815,8,0.6302579163597076,2,0.6935977326035336,2,0.6348766113330435,1,0.6456266106048382,8,0.6156263579825045
