,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'clf__n_estimators': 75, 'clf__criterion': 'entropy', 'clf__class_weight': None}",2,0.5659953246089126,4,0.5795057668633766,2,0.47679542175353007,3,0.6140027397132042,1,0.5568336390806001,4,0.5985787921986165,2,0.44470528603682574
1,"{'clf__n_estimators': 150, 'clf__criterion': 'entropy', 'clf__class_weight': None}",1,0.566554396085055,1,0.5804727642846723,4,0.47098606899263323,1,0.6156678298032887,3,0.5556823994625657,2,0.600776088362862,4,0.4365845078768143
2,"{'clf__n_estimators': 10, 'clf__criterion': 'entropy', 'clf__class_weight': None}",7,0.5544957047255418,8,0.5670891392760034,9,0.44947111219936164,7,0.5977861061200592,8,0.5442326104908832,8,0.5912692083953934,9,0.4008716121381819
3,"{'clf__n_estimators': 75, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",4,0.5651440370743486,3,0.5797758087356784,1,0.47777067392179506,4,0.6132955172404163,2,0.5561985200905808,3,0.599031190003759,1,0.44664511376877347
4,"{'clf__n_estimators': 10, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",9,0.5528644345566923,9,0.5660974196981382,8,0.4499034670743361,9,0.5962085924930017,9,0.543145134853606,9,0.5911399838789572,8,0.40199239003832193
5,"{'clf__n_estimators': 100, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",3,0.5653371831987626,2,0.5799708480095175,3,0.4718605450301301,2,0.6143043745393721,4,0.5550192239140554,1,0.6009298306591087,3,0.4374951232068323
6,"{'clf__n_estimators': 30, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",6,0.5617769366870078,6,0.5755920770483881,6,0.4666364632140193,6,0.6083441220938324,6,0.551989166670509,6,0.5968259227231792,6,0.4286928931302902
7,"{'clf__n_estimators': 50, 'clf__criterion': 'gini', 'clf__class_weight': None}",5,0.5640136848348185,5,0.5770653193855568,5,0.4673728698355254,5,0.6116261832644583,5,0.5536247331540506,5,0.5970714011544643,5,0.4302982806880137
8,"{'clf__n_estimators': 10, 'clf__criterion': 'gini', 'clf__class_weight': None}",10,0.5528319122403547,10,0.5651410437220595,10,0.44842096934367287,10,0.594738021578124,10,0.5430684186619789,10,0.5906876591965807,10,0.3988478640715134
9,"{'clf__n_estimators': 10, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced'}",8,0.5538215737924053,7,0.5674246313207759,7,0.45187120036479417,8,0.5968318417057086,7,0.5444488040340336,7,0.5925488331512486,7,0.404031861128099
