,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'clf__activation': 'identity', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (10,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.0001}",97,0.5853592297539509,109,0.5842182977903639,52,0.6280626244742364,118,0.5885072386587188,118,0.580324486573625,118,0.5744326905991304,7,0.6928026278385074
1,"{'clf__activation': 'identity', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (10,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.0001}",97,0.5853592297539509,109,0.5842182977903639,52,0.6280626244742364,118,0.5885072386587188,118,0.580324486573625,118,0.5744326905991304,7,0.6928026278385074
2,"{'clf__activation': 'identity', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (10,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.0001}",97,0.5853592297539509,109,0.5842182977903639,52,0.6280626244742364,118,0.5885072386587188,118,0.580324486573625,118,0.5744326905991304,7,0.6928026278385074
3,"{'clf__activation': 'identity', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.0001}",61,0.5865101257808144,61,0.5853921226663068,46,0.628228210878769,67,0.5929522263977475,64,0.5817257907416926,73,0.5757172769198926,22,0.6913398984552678
4,"{'clf__activation': 'identity', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.0001}",61,0.5865101257808144,61,0.5853921226663068,46,0.628228210878769,67,0.5929522263977475,64,0.5817257907416926,73,0.5757172769198926,22,0.6913398984552678
5,"{'clf__activation': 'identity', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.0001}",61,0.5865101257808144,61,0.5853921226663068,46,0.628228210878769,67,0.5929522263977475,64,0.5817257907416926,73,0.5757172769198926,22,0.6913398984552678
6,"{'clf__activation': 'identity', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (30,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.0001}",70,0.5861133121966124,73,0.584967511451144,37,0.628900232286606,115,0.5911939446486623,97,0.5810259045378141,109,0.5749948511832255,1,0.6940542100527939
7,"{'clf__activation': 'identity', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (30,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.0001}",70,0.5861133121966124,73,0.584967511451144,37,0.628900232286606,115,0.5911939446486623,97,0.5810259045378141,109,0.5749948511832255,1,0.6940542100527939
8,"{'clf__activation': 'identity', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (30,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.0001}",70,0.5861133121966124,73,0.584967511451144,37,0.628900232286606,115,0.5911939446486623,97,0.5810259045378141,109,0.5749948511832255,1,0.6940542100527939
9,"{'clf__activation': 'identity', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (40,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.0001}",94,0.5854385475828223,97,0.5843025036243995,61,0.6278138537595309,61,0.5943425661473662,112,0.5804892009801795,115,0.5746206547393806,19,0.6919225319021992
