,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'clf__C': 1, 'clf__class_weight': None, 'trans__kernel': 'linear'}",8,0.6054015819465314,8,0.6040126980545097,2,0.6529271733885162,8,0.6398475308795001,8,0.5984249190331423,10,0.5876887988060282,1,0.7345262605596916
1,"{'clf__C': 1, 'clf__class_weight': None, 'trans__kernel': 'rbf'}",1,0.6138154498089505,1,0.612971270406916,6,0.6448608935027511,4,0.6579815448393214,1,0.6111853748582975,4,0.6023633169679056,9,0.6939009751008763
2,"{'clf__C': 1, 'clf__class_weight': None, 'trans__kernel': 'sigmoid'}",15,0.589069937030842,15,0.5881129797252134,14,0.6282504329882246,14,0.6097374895692627,13,0.5846212855292215,12,0.57914267235443,11,0.687300323337604
3,"{'clf__C': 1, 'clf__class_weight': None, 'trans__kernel': 'poly'}",13,0.5902210141845983,13,0.5888757570069797,9,0.6383292306409406,16,0.6036810456923621,16,0.583419894460713,16,0.5761500950377108,6,0.7156038926894444
4,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'trans__kernel': 'linear'}",7,0.6065128387466648,7,0.6052715049796746,4,0.6494103121275244,7,0.6408165431862203,7,0.6010192274260369,8,0.5906441558202571,5,0.7212424596385673
5,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'trans__kernel': 'rbf'}",4,0.612862946792794,4,0.6121538901065342,8,0.6395611077825794,3,0.6583889325469318,2,0.6110167963493083,3,0.6039162685860389,12,0.679757845872827
6,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'trans__kernel': 'sigmoid'}",16,0.5872839746800353,16,0.5865077980094073,16,0.6204773481761678,13,0.6101475916398199,14,0.5841863525543579,11,0.580091209464368,14,0.6677752289523261
7,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'trans__kernel': 'poly'}",14,0.5895661774665546,14,0.5883207220723761,12,0.6345533995275158,15,0.6040739485749278,15,0.5837836531012355,15,0.5768351187222004,8,0.705154735575714
8,"{'clf__C': 10, 'clf__class_weight': None, 'trans__kernel': 'linear'}",2,0.613597018651345,2,0.6123921411984663,1,0.6553012073525537,6,0.6508379906741246,6,0.6083411774201402,6,0.5966130184156129,3,0.7268818960864506
9,"{'clf__C': 10, 'clf__class_weight': None, 'trans__kernel': 'rbf'}",5,0.6124063613339759,5,0.6117689175893066,10,0.6375006956508316,2,0.6646825912727533,3,0.6107997733578779,2,0.6044818913908576,13,0.6744659762449754
10,"{'clf__C': 10, 'clf__class_weight': None, 'trans__kernel': 'sigmoid'}",9,0.6007976749607034,9,0.5997858345033351,11,0.6360563477111711,10,0.6295803710987589,9,0.597223350287597,9,0.5898129959353499,10,0.6905678433356266
11,"{'clf__C': 10, 'clf__class_weight': None, 'trans__kernel': 'poly'}",11,0.5944675971863906,11,0.5930075768925337,5,0.6453324816616536,12,0.6261974192401285,11,0.5865736424682076,14,0.5782053396224978,2,0.7301396839903063
12,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'trans__kernel': 'linear'}",3,0.6132795307710965,3,0.6122332627655312,3,0.6500859553837525,5,0.6512823760361289,5,0.6093715933988615,5,0.5988624548811968,7,0.7109619267499272
13,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'trans__kernel': 'rbf'}",6,0.6114736720248727,6,0.6110501014946513,13,0.6295866900343189,1,0.6651304363084274,4,0.6107096668851665,1,0.6075712877083977,16,0.6534088547906335
14,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'trans__kernel': 'sigmoid'}",10,0.5980988566955524,10,0.5973381559958884,15,0.6251503582137208,9,0.6299647249735375,10,0.5960290229919273,7,0.5913184804812971,15,0.6636567017026657
15,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'trans__kernel': 'poly'}",12,0.5935547570222108,12,0.5921616668302621,7,0.6423950855285833,11,0.626947044156829,12,0.5864188074107541,13,0.5783237790105882,4,0.7224739872616857
